filename,a,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
3sy46vcmzi.h5,-0.8249363858042459,73237810.6085205,346874357539.1991,0.21865334174212783,5283809964.770762,-1.1517189571313058,-0.9711783053186995,0.4018806270261571,1.0,1.56523,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,51.5246,51.5246,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,45,59,0.00062721,0.000175023,230000000000.0,10.5314,10.5575,8.1798e+41,10.5314,0.0262364,0.0221112,0.0111479,0.325799,0.105854
e0yyvppjvq.h5,0.06141440082014182,49340084.12564927,183239623140.04318,0.21575904220367778,7921840487.235065,-1.164105156926788,-0.6976921322605367,0.647709105041423,-1.0,1.99811,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,34.3665,34.3665,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,35,61,0.000624211,0.000381445,230000000000.0,22.952,23.1033,1.7827e+42,22.952,0.0404773,0.0284415,0.0996604,0.215539,0.434212
eev3387uk5.h5,0.7641551994696858,90153073.44650632,295486066927.26855,0.4114206260192511,7147166968.263204,-1.122439399551743,-0.884871423319149,0.8110378025810496,1.0,1.64503,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,38.0915,38.0915,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,43,53,0.000922108,0.000385772,230000000000.0,23.2124,23.1668,1.80292e+42,23.2124,0.00482589,0.00743303,0.0813933,0.0381789,0.350646
ljy3vz144n.h5,-0.5954202063454432,69086132.39506857,277389280675.0196,0.28468560255288944,5555744831.190995,-1.1384938130912883,-0.8773033997900527,0.6984831119540792,1.0,1.80341,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,49.0026,49.0026,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,40,55,0.000624799,0.000215004,230000000000.0,12.9371,12.9893,1.00483e+42,12.9371,0.000167821,0.0259535,0.060131,0.200618,0.464796
4uieq1tktf.h5,-0.8339654066526985,9681207.729918739,390453959976.81366,0.561646177289232,7746539843.540328,-1.1084988292869953,-0.7169609171664688,0.606031148077317,-1.0,1.55182,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,35.1442,35.1442,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,38,65,0.00107124,0.000723468,230000000000.0,43.532,44.2903,3.38116e+42,43.532,0.0801626,0.328445,0.494648,0.776638,1.13629
25xhq68aji.h5,-0.5115261777095466,77860310.67605293,688960744538.4028,0.4700800124105614,7500078376.764036,-1.191884835678863,-0.6840005089664587,0.47319481890173287,1.0,1.85927,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,36.2991,36.2991,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,43,67,0.00191323,0.00128421,230000000000.0,77.2723,76.0128,6.0018e+42,77.2723,-0.396194,0.227899,0.113257,0.591498,0.146569
s76ol922q4.h5,0.16620967278780063,93031624.30379999,661748050734.3563,0.39938581844307597,5671487407.036192,-1.1770361621512495,-0.9893237255775476,0.8435107240495705,1.0,1.98609,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,48.0026,48.0026,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,42,56,0.00145267,0.000541821,230000000000.0,32.6021,32.5295,2.53223e+42,32.6021,-0.0141812,0.0427825,0.180201,0.138248,0.552728
4jczfxt026.h5,-0.6516218447871556,12316443.877852548,292605069750.6182,0.3679416424502574,6410348890.885336,-1.1287466695398098,-0.8227188958376292,0.7794986283762896,1.0,1.75854,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,42.4698,42.4698,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,38,55,0.000747787,0.000197791,230000000000.0,11.9013,12.1744,9.24383e+41,11.9013,0.0219592,-0.0592733,0.112392,0.53112,0.944368
ttuooqgjkb.h5,-0.6276543443701272,66747169.18235861,853934872123.1038,0.1156730584506779,6522141396.890406,-1.1927745000917618,-0.9800691233170833,0.19932256658395342,1.0,1.77849,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,41.7418,41.7418,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,49,64,0.00152047,0.000808871,230000000000.0,48.6707,48.3789,3.78029e+42,48.6707,-0.0347611,0.0277066,0.0601485,0.0913322,0.123583
7qqgvaxm2v.h5,-0.8641277871143982,87791233.67868657,670352027606.3846,0.16473880028610202,6377743875.60874,-1.1562280830271645,-0.9911655289379152,0.9882251545401649,-1.0,1.50327,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,42.6869,42.6869,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,38,55,0.00135298,0.000643259,230000000000.0,38.7057,38.8562,3.0063e+42,38.7057,0.0414989,0.0166718,0.147543,0.115545,0.381192
isdx97gyug.h5,0.01884664600168451,57022569.60622823,237635339240.86646,0.2587374341986012,5170075110.63611,-1.0680384712767945,-0.6305310462531085,0.6326383394314418,1.0,1.99982,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,52.6581,52.6581,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,41,58,0.000885481,0.000496215,230000000000.0,29.8579,30.0066,2.31908e+42,29.8579,0.0654028,0.0641227,0.152174,0.306763,0.50966
26uvl73rie.h5,0.9703606489276042,26911729.346573826,303854403233.75385,0.37785696638839883,5505260314.803669,-1.1609471343478799,-0.7659471107317652,0.2027358804095244,-1.0,1.24166,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,49.452,49.452,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,45,59,0.000738765,0.000271139,230000000000.0,16.3148,16.4124,1.26718e+42,16.3148,0.0981486,0.0556905,0.00213367,0.69169,0.0130782
4wdfs66vtk.h5,0.022052965576003336,74365686.2282037,99663665716.0814,0.1740305566931741,5492777396.772154,-1.0673492286729747,-0.775971736605272,0.6639039382513677,1.0,1.99976,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,49.5644,49.5644,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,38,56,0.000301422,4.97401e-05,230000000000.0,2.99292,3.02712,2.32462e+41,2.99292,-0.000735403,0.00140244,0.0112047,0.0529101,0.374372
8qixfuborp.h5,0.4938591468196665,19385454.71938604,716505643853.251,0.4690845279281194,5748249584.456318,-1.0127689521371697,-0.8830859977888876,0.8779565063218687,1.0,1.86954,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,47.3616,47.3616,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,43,54,0.00212886,0.000792545,230000000000.0,47.6884,47.9433,3.704e+42,47.6884,-0.0633981,0.251828,0.570668,0.544547,1.19666
d8x0927yaw.h5,-0.964599354083652,50055017.16835293,767619879724.5184,0.44389630581118356,5497904540.186045,-1.1403758698766198,-0.6414206008368826,0.11708037124757131,-1.0,1.26372,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,49.5182,49.5182,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,50,62,0.00203271,0.00138481,230000000000.0,83.3254,81.5027,6.47195e+42,83.3254,-0.55067,0.0691404,0.0428018,0.666055,0.0513671
qaggasmjba.h5,0.19664346140611455,94057029.58700366,767923448516.1292,0.4328974965970226,7992519020.631097,-1.0809381455989702,-0.7938009628642789,0.9023363645986021,-1.0,1.98048,300.0,"0.000000e+00,6.907755e+00,9.444444e-02,0.000000e+00",5.18394e+25,16800.0,34.0626,34.0626,7.75701e-10,7.75701e-10,160.0,160.0,"100,100",6.017123,39,56,0.00244718,0.00121926,230000000000.0,73.3643,72.5097,5.69826e+42,73.3643,-0.195909,0.282418,0.135709,0.468504,0.18498
