filename,a,thetacam,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
kupd2a78p6.h5,0.6203153905601699,166.28412062821928,99845.58573808437,988240186641.6398,0.18391583273769121,7336614941.129457,-1.0439435771743368,-0.7079546722749535,0.057169136684099064,-1.0,1.78435,300.0,"0.000000e+00,6.907755e+00,9.238007e-01,0.000000e+00",5.18394e+25,16800.0,37.1079,37.1079,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,119,167,0.000484512,1.0006e-05,230000000000.0,0.602075,0.602047,4.67636e+40,0.602075,0.00666215,0.00104947,-0.000233148,1.12018,-0.0387241
mmwu65ag5p.h5,0.6408406072344679,68.75454603245511,264098.9790174425,770454815193.2505,0.14242069109775393,6463253743.253466,-1.1575205990883235,-0.9247887310979823,0.968414444976346,-1.0,1.76767,300.0,"0.000000e+00,6.907755e+00,3.819697e-01,0.000000e+00",5.18394e+25,16800.0,42.1221,42.1221,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,207,164,0.00244108,9.71827e-06,230000000000.0,0.58476,0.612283,4.54188e+40,0.58476,-0.00336039,0.0784133,0.0090666,13.4218,1.55048
cloblzbnh7.h5,0.8741761520482176,44.29353011015999,5638976.98273354,180459777458.67862,0.15434446735573124,5388661189.937702,-1.0603165054089216,-0.9702997171916354,0.18363053727920686,-1.0,1.48561,300.0,"0.000000e+00,6.907755e+00,2.460752e-01,0.000000e+00",5.18394e+25,16800.0,50.522,50.522,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,145,132,0.000565033,9.86189e-06,230000000000.0,0.593402,0.625642,4.609e+40,0.593402,0.00487904,-0.00690646,-0.0100376,1.42501,-1.69153
q1hpepev1z.h5,0.15319653552778445,25.377162171101673,169718.76952979565,787547620522.6276,0.2574146985168366,6226639327.189149,-1.128021191889901,-0.8171067753596379,0.3678711740787066,-1.0,1.9882,300.0,"0.000000e+00,6.907755e+00,1.409842e-01,0.000000e+00",5.18394e+25,16800.0,43.7228,43.7228,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,198,165,0.000600383,6.62011e-06,230000000000.0,0.39834,0.40287,3.09394e+40,0.39834,0.00805625,0.00350695,-0.000134074,2.20577,-0.033658
ssihtl6tjs.h5,0.01212957359928879,133.6854717924808,138669.82277353096,769597445631.3274,0.19703749929102762,7793342614.106003,-1.0682692306381512,-0.8605026623892246,0.5036825893209828,-1.0,1.99993,300.0,"0.000000e+00,6.907755e+00,7.426971e-01,0.000000e+00",5.18394e+25,16800.0,34.9332,34.9332,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,207,155,0.000795556,7.47835e-06,230000000000.0,0.449982,0.454907,3.49504e+40,0.449982,0.0189973,-0.0320866,-0.00229025,8.28671,-0.508965
tvqjnr3xk3.h5,0.5109962439857352,160.24037483173151,265158.5908422728,349969330173.56854,0.5734302275394515,7445590850.101751,-1.1160452455881866,-0.6568460595758834,0.2751857418377225,-1.0,1.85958,300.0,"0.000000e+00,6.907755e+00,8.902243e-01,0.000000e+00",5.18394e+25,16800.0,36.5647,36.5647,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,207,154,0.000508376,9.42657e-06,230000000000.0,0.567208,0.589512,4.40555e+40,0.567208,0.0198076,-0.0107563,-0.0102772,3.97379,-1.8119
jyrqvva5u0.h5,-0.4514672110202367,108.99867535660731,186117.10162680293,933695237608.316,0.40621824773421833,5073497591.746228,-1.1265075685018517,-0.8730380151249744,0.29939702776175015,1.0,1.89229,300.0,"0.000000e+00,6.907755e+00,6.055482e-01,0.000000e+00",5.18394e+25,16800.0,53.6604,53.6604,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,126,171,0.00121317,8.114e-06,230000000000.0,0.488229,0.497266,3.79211e+40,0.488229,0.124549,0.00597053,4.1073e-05,25.5397,0.00841264
yrg379jlvl.h5,0.1108132028783615,52.438025389939426,1.0512513738266186e+26,28429947350.842617,0.5535566288569626,7490566268.936464,-1.023216733652045,-0.8427370246235422,0.23277947372201724,1.0,1.99384,300.0,"0.000000e+00,6.907755e+00,2.913224e-01,0.000000e+00",5.18394e+25,16800.0,36.3452,36.3452,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,140,119,4.61333e-06,3.65577e-06,230000000000.0,0.219972,0.214948,1.70854e+40,0.219972,0.000105242,-5.16181e-06,2.89962e-10,0.0479008,1.31818e-07
zoi6p8d917.h5,-0.026298624353482847,106.39370060894892,506124.2991279047,215576832414.70422,0.39692856270279164,7618132221.007269,-1.055051925396045,-0.6463071323886325,0.4624752169247115,-1.0,1.99965,300.0,"0.000000e+00,6.907755e+00,5.910761e-01,0.000000e+00",5.18394e+25,16800.0,35.7366,35.7366,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,205,151,0.000864524,9.60425e-06,230000000000.0,0.577899,0.607306,4.48859e+40,0.577899,0.0175465,-0.0168169,0.0470436,4.20559,8.14045
k7w77voz4l.h5,0.629997874583875,107.58795931628381,82515.55282628014,978121664161.6536,0.5759131402690276,5663579356.456827,-1.1394499355902592,-0.6140314926436219,0.6777292212705726,-1.0,1.7766,300.0,"0.000000e+00,6.907755e+00,5.977109e-01,0.000000e+00",5.18394e+25,16800.0,48.0696,48.0696,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,201,154,0.00167324,1.15746e-05,230000000000.0,0.69646,0.701004,5.40946e+40,0.69646,0.229747,-0.0401649,0.00102053,33.4881,0.14653
uf3eubn6k7.h5,0.3296670315403283,140.49321980340648,109342.61865981879,944273611873.5312,0.23641861684328144,5613874021.6512575,-1.0535264303514167,-0.6637447778268655,0.5071271159087353,-1.0,1.9441,300.0,"0.000000e+00,6.907755e+00,7.805179e-01,0.000000e+00",5.18394e+25,16800.0,48.4952,48.4952,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,195,150,0.000743383,8.76148e-06,230000000000.0,0.527189,0.529981,4.09472e+40,0.527189,0.0380685,-0.0161474,-0.00106892,7.84379,-0.202758
qz5r1p8who.h5,0.4963873562628365,96.05920900307167,326862.80591770244,343943257904.89734,0.5480509157144086,5138125122.531721,-1.0426334845311196,-0.7941877232800371,0.757877698407176,1.0,1.8681,300.0,"0.000000e+00,6.907755e+00,5.336623e-01,0.000000e+00",5.18394e+25,16800.0,52.9855,52.9855,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,135,164,0.00193246,8.98979e-06,230000000000.0,0.540927,0.597008,4.20142e+40,0.540927,0.051944,-0.0556738,0.0115679,14.0764,2.13853
