filename,a,thetacam,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,rotcam,xoff,yoff,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
dbnoxg0y38.h5,-0.9257242440917879,80.46800238291704,243103.7577356124,664123273516.5228,0.6011437423798319,6231337187.289419,-1.3409557785228525,-0.8799148206226911,0.05739420956600716,1.0,282.90900538738447,25.461344762188354,25.717064308991766,1.3782,300.0,"0.000000e+00,6.907755e+00,4.470445e-01,0.000000e+00",5.18394e+25,16800.0,43.6898,43.6898,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,150,150,0.00145338,9.50399e-06,230000000000.0,0.571867,0.599804,4.44173e+40,0.571867,-0.11894,0.0511955,-0.00667599,22.6434,-1.1674
y7125dw10g.h5,-0.6542283463671061,5.289741261428352,287897.2740866632,344092037724.14,0.595515530993622,8768239007.403141,-0.9317258457195443,-0.9058842937812295,0.3324338600514837,-1.0,52.03821794245331,4.007110784294454,-19.00150466543382,1.7563,300.0,"0.000000e+00,6.907755e+00,2.938745e-02,0.000000e+00",5.18394e+25,16800.0,31.0491,31.0491,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,178,133,0.000513764,9.36205e-06,230000000000.0,0.563326,0.597419,4.37539e+40,0.563326,-0.00280287,0.00081771,-0.0593412,0.5183,-10.5341
s9xygtp0bt.h5,0.6104516509898514,87.40351823466247,1705023.5905484476,169523513366.53317,0.4349513552367965,4285440366.0220804,-0.8513872481222634,-0.6934876191182671,0.23169589835061977,-1.0,202.393761707589,-5.957307820566953,5.6959936062203695,1.79205,300.0,"0.000000e+00,6.907755e+00,4.855751e-01,0.000000e+00",5.18394e+25,16800.0,63.5282,63.5282,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,144,135,0.000606685,9.63999e-06,230000000000.0,0.58005,0.603613,4.50529e+40,0.58005,0.000473492,-0.000563,0.00323463,0.126823,0.557647
4hoqyjb8fi.h5,-0.18103982090406723,80.2391930520063,2729010.733586657,134915031455.38931,0.5294731915818675,9846801565.571707,-1.39786124230985,-0.8621722437274861,0.36296896140316204,-1.0,154.33862234586903,24.360710346242996,12.010000524826154,1.98348,300.0,"0.000000e+00,6.907755e+00,4.457733e-01,0.000000e+00",5.18394e+25,16800.0,27.6482,27.6482,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,77,148,0.000447657,9.69017e-06,230000000000.0,0.583069,0.599468,4.52874e+40,0.583069,0.000279,-0.00114976,0.0287276,0.202914,4.92696
ic7vsfzixs.h5,0.4482651304602372,104.95393490679032,2939420.6891514957,342812471680.45166,0.6068784573250919,4293509761.097841,-1.2843245903724885,-1.1374799986225825,0.4052543236963805,-1.0,82.3856851037454,-4.2310598888889075,-24.047873598928042,1.8939,300.0,"0.000000e+00,6.907755e+00,5.830774e-01,0.000000e+00",5.18394e+25,16800.0,63.4088,63.4088,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,188,165,0.000743251,9.34807e-06,230000000000.0,0.562485,0.602856,4.36886e+40,0.562485,-0.000586043,0.000554621,-0.00967833,0.143449,-1.72064
vf97229oc4.h5,0.693349010431461,58.00274935645243,444197.7559692086,502809311798.3096,0.6461504890922409,4512433368.995335,-0.8340323571636651,-1.0158345657783439,0.42245900545911386,-1.0,356.5595869320579,3.4197057427124946,-26.818387756902283,1.7206,300.0,"0.000000e+00,6.907755e+00,3.222375e-01,0.000000e+00",5.18394e+25,16800.0,60.3324,60.3324,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,181,167,0.00110074,9.16607e-06,230000000000.0,0.551534,0.602918,4.2838e+40,0.551534,-0.00334666,-0.086403,-0.00116573,15.6777,-0.211361
4c40t23oui.h5,-0.846788478300788,95.16211842730311,470885.73519937176,217662031696.28323,0.255902440267143,9637075148.22961,-0.862320499517009,-0.7285407110616153,0.8296761098769888,1.0,340.979090740673,29.694000432501284,18.010124331293333,1.53193,300.0,"0.000000e+00,6.907755e+00,5.286784e-01,0.000000e+00",5.18394e+25,16800.0,28.2499,28.2499,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,55,129,0.00116196,1.57538e-05,230000000000.0,0.947925,0.996663,7.3626e+40,0.947925,0.000646491,0.0048328,0.0949587,0.51437,10.0175
nbeg7dgd9e.h5,-0.25447531678877455,118.16749140332446,231953.45484054709,949372810995.7786,0.12635788446493226,7296793324.725161,-0.9107137918579977,-1.1049019127951547,0.28250944726298743,1.0,69.43046984986378,-17.29819237733289,20.299587287322538,1.96708,300.0,"0.000000e+00,6.907755e+00,6.564861e-01,0.000000e+00",5.18394e+25,16800.0,37.3104,37.3104,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,179,187,0.000860865,9.73529e-06,230000000000.0,0.585784,0.597906,4.54983e+40,0.585784,-0.0486504,-0.0526295,0.00238212,12.235,0.406654
via6294ins.h5,-0.03380014861787484,141.27635142902577,988674.0501130712,222100317883.6621,0.6457172511073959,7666552433.801861,-1.0260058962497947,-0.860621648028673,0.016310646781763194,1.0,181.1300011290599,1.9969229043186303,28.350757827520766,1.99943,300.0,"0.000000e+00,6.907755e+00,7.848686e-01,0.000000e+00",5.18394e+25,16800.0,35.5109,35.5109,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,182,91,0.000497263,9.53551e-06,230000000000.0,0.573763,0.596885,4.45646e+40,0.573763,0.0518151,-0.00739618,-0.00223087,9.12229,-0.388814
5cg2wi9smp.h5,0.48974799095746313,12.18206039479988,80773.44841072308,991761982997.8044,0.33967894126209663,7898132061.265778,-1.1070518952341828,-0.7753941703941154,0.33689552056333705,1.0,164.38128732818097,-2.3412677625084015,-12.501690894449197,1.87186,300.0,"0.000000e+00,6.907755e+00,6.767811e-02,0.000000e+00",5.18394e+25,16800.0,34.4697,34.4697,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,198,200,0.000471429,9.90624e-06,230000000000.0,0.596071,0.597697,4.62973e+40,0.596071,0.0046742,-0.000378235,-0.00118422,0.786731,-0.198671
